result_fact_id,student_key,course_key,academic_period_key,assessment_key,grade_key,assessment_score,final_mark,source_system
60,149,1,1,1,3,100.0,60.0,
61,146,1,1,1,5,75.0,22.0,
62,122,1,1,1,3,100.0,64.0,
63,90,1,1,1,2,100.0,73.0,
64,105,1,1,1,5,80.0,36.0,
65,11,1,1,1,5,70.0,33.0,
66,73,1,1,1,5,90.0,11.0,
67,34,1,1,1,7,100.0,44.0,
68,131,1,1,1,1,85.0,82.0,
69,18,1,1,1,5,,0.0,
70,39,1,1,1,2,100.0,70.0,
71,27,1,1,1,5,80.0,24.0,
72,133,1,1,1,5,,10.0,
73,67,1,1,1,2,85.0,70.0,
74,13,1,1,1,2,100.0,76.0,
75,114,1,1,1,3,100.0,68.0,
76,3,1,1,1,9,100.0,,
77,29,1,1,1,4,100.0,59.0,
78,97,1,1,1,7,80.0,44.0,
79,60,1,1,1,3,80.0,65.0,
80,82,1,1,1,2,95.0,73.0,
81,167,1,1,1,5,0.0,0.0,
82,68,1,1,1,7,80.0,44.0,
83,58,1,1,1,5,30.0,20.0,
84,126,1,1,1,4,45.0,53.0,
85,6,1,1,1,9,90.0,,
86,20,1,1,1,5,100.0,34.0,
87,85,1,1,1,5,70.0,21.0,
88,54,1,1,1,7,30.0,41.0,
89,108,1,1,1,4,50.0,57.0,
90,143,1,1,1,5,90.0,13.0,
91,30,1,1,1,5,95.0,17.0,
92,170,1,1,1,5,,0.0,
93,19,1,1,1,1,80.0,83.0,
94,71,1,1,1,5,75.0,30.0,
95,119,1,1,1,4,100.0,50.0,
96,42,1,1,1,3,60.0,62.0,
97,117,1,1,1,1,100.0,82.0,
98,76,1,1,1,4,100.0,53.0,
99,24,1,1,1,7,100.0,40.0,
100,72,1,1,1,3,100.0,66.0,
101,66,1,1,1,22,80.0,46.0,
102,124,1,1,1,2,90.0,72.0,
103,125,1,1,1,2,100.0,75.0,
104,81,1,1,1,5,10.0,25.0,
105,162,1,1,1,5,75.0,7.0,
106,99,1,1,1,3,85.0,60.0,
107,65,1,1,1,4,90.0,58.0,
108,163,1,1,1,5,85.0,11.0,
109,107,1,1,1,4,30.0,53.0,
110,134,1,1,1,5,70.0,27.0,
111,2,1,1,1,7,100.0,41.0,
112,139,1,1,1,5,60.0,33.0,
113,123,1,1,1,5,50.0,18.0,
114,36,1,1,1,4,90.0,56.0,
115,118,1,1,1,3,90.0,64.0,
116,70,1,1,1,1,100.0,85.0,
117,144,1,1,1,4,50.0,58.0,
118,104,1,1,1,2,100.0,72.0,
119,159,1,1,1,5,,5.0,
120,10,1,1,1,5,30.0,32.0,
121,50,1,1,1,3,50.0,60.0,
122,101,1,1,1,5,65.0,38.0,
123,84,1,1,1,4,100.0,52.0,
124,9,1,1,1,2,90.0,75.0,
125,22,1,1,1,1,100.0,83.0,
126,109,1,1,1,3,50.0,66.0,
127,141,1,1,1,22,60.0,48.0,
128,88,1,1,1,3,100.0,62.0,
129,116,1,1,1,5,,23.0,
130,150,1,1,1,3,90.0,69.0,
131,32,1,1,1,2,,75.0,
132,161,1,1,1,5,40.0,3.0,
133,35,1,1,1,22,85.0,48.0,
134,94,1,1,1,4,80.0,51.0,
135,113,1,1,1,5,10.0,24.0,
136,96,1,1,1,5,85.0,25.0,
137,47,1,1,1,7,85.0,43.0,
138,44,1,1,1,3,90.0,60.0,
139,98,1,1,1,5,20.0,28.0,
140,21,1,1,1,4,100.0,50.0,
141,51,1,1,1,1,95.0,82.0,
142,86,1,1,1,5,40.0,30.0,
143,45,1,1,1,2,85.0,71.0,
144,158,1,1,1,5,0.0,3.0,
145,130,1,1,1,5,40.0,25.0,
146,157,1,1,1,5,80.0,5.0,
147,37,1,1,1,4,95.0,54.0,
148,69,1,1,1,4,80.0,58.0,
149,92,1,1,1,7,,40.0,
150,120,1,1,1,3,100.0,61.0,
151,165,1,1,1,5,70.0,3.0,
152,132,1,1,1,3,90.0,63.0,
153,12,1,1,1,2,100.0,75.0,
154,115,1,1,1,4,100.0,58.0,
155,79,1,1,1,3,100.0,63.0,
156,138,1,1,1,7,30.0,42.0,
157,46,1,1,1,22,80.0,46.0,
158,16,1,1,1,4,90.0,51.0,
159,64,1,1,1,5,60.0,23.0,
160,168,1,1,1,5,85.0,2.0,
161,4,1,1,1,22,90.0,49.0,
162,14,1,1,1,4,80.0,50.0,
163,31,1,1,1,2,100.0,72.0,
164,140,1,1,1,5,,0.0,
165,171,1,1,1,5,0.0,0.0,
166,59,1,1,1,5,,19.0,
167,61,1,1,1,1,100.0,83.0,
168,129,1,1,1,5,60.0,24.0,
169,74,1,1,1,4,85.0,54.0,
170,28,1,1,1,5,,2.0,
171,112,1,1,2,4,40.0,52.0,
172,135,1,1,2,5,100.0,38.0,
173,102,1,1,2,5,,2.0,
174,7,1,1,2,22,40.0,46.0,
175,111,1,1,2,22,100.0,45.0,
176,160,1,1,2,5,0.0,5.0,
177,62,1,1,2,22,70.0,48.0,
178,57,1,1,2,22,,47.0,
179,33,1,1,2,22,60.0,49.0,
180,154,1,1,2,5,,1.0,
181,148,1,1,2,5,100.0,24.0,
182,147,1,1,2,5,95.0,25.0,
183,41,1,1,2,5,60.0,15.0,
184,49,1,1,2,5,60.0,26.0,
185,110,1,1,2,5,50.0,22.0,
186,5,1,1,2,1,100.0,86.0,
187,106,1,1,2,5,90.0,33.0,
188,83,1,1,2,5,50.0,30.0,
189,15,1,1,2,4,80.0,59.0,
190,23,1,1,2,1,100.0,83.0,
191,87,1,1,2,7,0.0,41.0,
192,78,1,1,2,5,80.0,39.0,
193,77,1,1,2,4,80.0,50.0,
194,155,1,1,2,5,0.0,0.0,
195,17,1,1,2,5,50.0,5.0,
196,8,1,1,2,22,70.0,46.0,
197,152,1,1,2,5,,11.0,
198,38,1,1,2,22,60.0,45.0,
199,142,1,1,2,2,100.0,71.0,
200,121,1,1,2,5,80.0,25.0,
201,136,1,1,2,4,80.0,56.0,
202,151,1,1,2,5,,10.0,
203,100,1,1,2,5,50.0,10.0,
204,164,1,1,2,5,,0.0,
205,43,1,1,2,7,100.0,43.0,
206,137,1,1,2,5,70.0,37.0,
207,128,1,1,2,5,65.0,30.0,
208,40,1,1,2,5,50.0,34.0,
209,93,1,1,2,5,50.0,33.0,
210,25,1,1,2,7,75.0,40.0,
211,169,1,1,2,5,0.0,0.0,
212,52,1,1,2,3,80.0,62.0,
213,95,1,1,2,9,80.0,,
214,56,1,1,2,3,100.0,60.0,
215,89,1,1,2,5,,9.0,
216,91,1,1,2,2,50.0,72.0,
217,26,1,1,2,5,60.0,18.0,
218,75,1,1,2,4,60.0,55.0,
219,53,1,1,2,5,50.0,37.0,
220,156,1,1,2,7,100.0,42.0,
221,145,1,1,2,5,40.0,17.0,
222,153,1,1,2,5,65.0,26.0,
223,127,1,1,2,5,30.0,23.0,
224,55,1,1,2,5,40.0,22.0,
225,63,1,1,2,22,60.0,46.0,
226,80,1,1,2,3,90.0,67.0,
227,48,1,1,2,22,50.0,48.0,
228,166,1,1,2,5,,0.0,
229,103,1,1,2,2,100.0,74.0,
230,149,1,1,2,3,100.0,60.0,
231,146,1,1,2,5,70.0,22.0,
232,122,1,1,2,3,100.0,64.0,
233,90,1,1,2,2,90.0,73.0,
234,105,1,1,2,5,90.0,36.0,
235,11,1,1,2,5,100.0,33.0,
236,73,1,1,2,5,70.0,11.0,
237,34,1,1,2,7,100.0,44.0,
238,131,1,1,2,1,80.0,82.0,
239,18,1,1,2,5,0.0,0.0,
240,39,1,1,2,2,90.0,70.0,
241,27,1,1,2,5,60.0,24.0,
242,133,1,1,2,5,50.0,10.0,
243,67,1,1,2,2,100.0,70.0,
244,13,1,1,2,2,100.0,76.0,
245,114,1,1,2,3,70.0,68.0,
246,3,1,1,2,9,70.0,,
247,29,1,1,2,4,80.0,59.0,
248,97,1,1,2,7,85.0,44.0,
249,60,1,1,2,3,95.0,65.0,
250,82,1,1,2,2,100.0,73.0,
251,167,1,1,2,5,0.0,0.0,
252,68,1,1,2,7,30.0,44.0,
253,58,1,1,2,5,20.0,20.0,
254,126,1,1,2,4,85.0,53.0,
255,6,1,1,2,9,70.0,,
256,20,1,1,2,5,100.0,34.0,
257,85,1,1,2,5,30.0,21.0,
258,54,1,1,2,7,80.0,41.0,
259,108,1,1,2,4,75.0,57.0,
260,143,1,1,2,5,20.0,13.0,
261,30,1,1,2,5,70.0,17.0,
262,170,1,1,2,5,,0.0,
263,19,1,1,2,1,100.0,83.0,
264,71,1,1,2,5,0.0,30.0,
265,119,1,1,2,4,100.0,50.0,
266,42,1,1,2,3,100.0,62.0,
267,117,1,1,2,1,100.0,82.0,
268,76,1,1,2,4,90.0,53.0,
269,24,1,1,2,7,95.0,40.0,
270,72,1,1,2,3,70.0,66.0,
271,66,1,1,2,22,70.0,46.0,
272,124,1,1,2,2,80.0,72.0,
273,125,1,1,2,2,80.0,75.0,
274,81,1,1,2,5,20.0,25.0,
275,162,1,1,2,5,50.0,7.0,
276,99,1,1,2,3,100.0,60.0,
277,65,1,1,2,4,80.0,58.0,
278,163,1,1,2,5,70.0,11.0,
279,107,1,1,2,4,100.0,53.0,
280,134,1,1,2,5,,27.0,
281,2,1,1,2,7,100.0,41.0,
282,139,1,1,2,5,30.0,33.0,
283,123,1,1,2,5,25.0,18.0,
284,36,1,1,2,4,35.0,56.0,
285,118,1,1,2,3,95.0,64.0,
286,70,1,1,2,1,100.0,85.0,
287,144,1,1,2,4,70.0,58.0,
288,104,1,1,2,2,95.0,72.0,
289,159,1,1,2,5,60.0,5.0,
290,10,1,1,2,5,,32.0,
291,50,1,1,2,3,40.0,60.0,
292,101,1,1,2,5,70.0,38.0,
293,84,1,1,2,4,70.0,52.0,
294,9,1,1,2,2,95.0,75.0,
295,22,1,1,2,1,100.0,83.0,
296,109,1,1,2,3,60.0,66.0,
297,141,1,1,2,22,35.0,48.0,
298,88,1,1,2,3,100.0,62.0,
299,116,1,1,2,5,,23.0,
300,150,1,1,2,3,95.0,69.0,
301,32,1,1,2,2,70.0,75.0,
302,161,1,1,2,5,50.0,3.0,
303,35,1,1,2,22,100.0,48.0,
304,94,1,1,2,4,90.0,51.0,
305,113,1,1,2,5,10.0,24.0,
306,96,1,1,2,5,70.0,25.0,
307,47,1,1,2,7,60.0,43.0,
308,44,1,1,2,3,100.0,60.0,
309,98,1,1,2,5,,28.0,
310,21,1,1,2,4,,50.0,
311,51,1,1,2,1,100.0,82.0,
312,86,1,1,2,5,50.0,30.0,
313,45,1,1,2,2,100.0,71.0,
314,158,1,1,2,5,0.0,3.0,
315,130,1,1,2,5,,25.0,
316,157,1,1,2,5,65.0,5.0,
317,37,1,1,2,4,55.0,54.0,
318,69,1,1,2,4,80.0,58.0,
319,92,1,1,2,7,70.0,40.0,
320,120,1,1,2,3,100.0,61.0,
321,165,1,1,2,5,80.0,3.0,
322,132,1,1,2,3,60.0,63.0,
323,12,1,1,2,2,100.0,75.0,
324,115,1,1,2,4,90.0,58.0,
325,79,1,1,2,3,90.0,63.0,
326,138,1,1,2,7,70.0,42.0,
327,46,1,1,2,22,40.0,46.0,
328,16,1,1,2,4,95.0,51.0,
329,64,1,1,2,5,,23.0,
330,168,1,1,2,5,,2.0,
331,4,1,1,2,22,60.0,49.0,
332,14,1,1,2,4,100.0,50.0,
333,31,1,1,2,2,100.0,72.0,
334,140,1,1,2,5,20.0,0.0,
335,171,1,1,2,5,0.0,0.0,
336,59,1,1,2,5,75.0,19.0,
337,61,1,1,2,1,100.0,83.0,
338,129,1,1,2,5,20.0,24.0,
339,74,1,1,2,4,85.0,54.0,
340,28,1,1,2,5,,2.0,
341,112,1,1,3,4,30.0,52.0,
342,135,1,1,3,5,95.0,38.0,
343,102,1,1,3,5,25.0,2.0,
344,7,1,1,3,22,45.0,46.0,
345,111,1,1,3,22,100.0,45.0,
346,160,1,1,3,5,,5.0,
347,62,1,1,3,22,90.0,48.0,
348,57,1,1,3,22,,47.0,
349,33,1,1,3,22,60.0,49.0,
350,154,1,1,3,5,,1.0,
351,148,1,1,3,5,,24.0,
352,147,1,1,3,5,100.0,25.0,
353,41,1,1,3,5,50.0,15.0,
354,49,1,1,3,5,,26.0,
355,110,1,1,3,5,50.0,22.0,
356,5,1,1,3,1,10.0,86.0,
357,106,1,1,3,5,40.0,33.0,
358,83,1,1,3,5,60.0,30.0,
359,15,1,1,3,4,100.0,59.0,
360,23,1,1,3,1,100.0,83.0,
361,87,1,1,3,7,75.0,41.0,
362,78,1,1,3,5,,39.0,
363,77,1,1,3,4,100.0,50.0,
364,155,1,1,3,5,0.0,0.0,
365,17,1,1,3,5,100.0,5.0,
366,8,1,1,3,22,0.0,46.0,
367,152,1,1,3,5,,11.0,
368,38,1,1,3,22,60.0,45.0,
369,142,1,1,3,2,,71.0,
370,121,1,1,3,5,,25.0,
371,136,1,1,3,4,,56.0,
372,151,1,1,3,5,10.0,10.0,
373,100,1,1,3,5,75.0,10.0,
374,164,1,1,3,5,,0.0,
375,43,1,1,3,7,,43.0,
376,137,1,1,3,5,90.0,37.0,
377,128,1,1,3,5,55.0,30.0,
378,40,1,1,3,5,75.0,34.0,
379,93,1,1,3,5,50.0,33.0,
380,25,1,1,3,7,50.0,40.0,
381,169,1,1,3,5,,0.0,
382,52,1,1,3,3,100.0,62.0,
383,95,1,1,3,9,75.0,,
384,56,1,1,3,3,100.0,60.0,
385,89,1,1,3,5,0.0,9.0,
386,91,1,1,3,2,75.0,72.0,
387,26,1,1,3,5,,18.0,
388,75,1,1,3,4,100.0,55.0,
389,53,1,1,3,5,90.0,37.0,
390,156,1,1,3,7,70.0,42.0,
391,145,1,1,3,5,90.0,17.0,
392,153,1,1,3,5,50.0,26.0,
393,127,1,1,3,5,50.0,23.0,
394,55,1,1,3,5,30.0,22.0,
395,63,1,1,3,22,90.0,46.0,
396,80,1,1,3,3,90.0,67.0,
397,48,1,1,3,22,100.0,48.0,
398,166,1,1,3,5,,0.0,
399,103,1,1,3,2,90.0,74.0,
400,149,1,1,3,3,100.0,60.0,
401,146,1,1,3,5,,22.0,
402,122,1,1,3,3,100.0,64.0,
403,90,1,1,3,2,80.0,73.0,
404,105,1,1,3,5,85.0,36.0,
405,11,1,1,3,5,90.0,33.0,
406,73,1,1,3,5,,11.0,
407,34,1,1,3,7,95.0,44.0,
408,131,1,1,3,1,100.0,82.0,
409,18,1,1,3,5,,0.0,
410,39,1,1,3,2,100.0,70.0,
411,27,1,1,3,5,70.0,24.0,
412,133,1,1,3,5,,10.0,
413,67,1,1,3,2,100.0,70.0,
414,13,1,1,3,2,100.0,76.0,
415,114,1,1,3,3,90.0,68.0,
416,3,1,1,3,9,50.0,,
417,29,1,1,3,4,70.0,59.0,
418,97,1,1,3,7,100.0,44.0,
419,60,1,1,3,3,95.0,65.0,
420,82,1,1,3,2,95.0,73.0,
421,167,1,1,3,5,,0.0,
422,68,1,1,3,7,80.0,44.0,
423,58,1,1,3,5,20.0,20.0,
424,126,1,1,3,4,100.0,53.0,
425,6,1,1,3,9,100.0,,
426,20,1,1,3,5,,34.0,
427,85,1,1,3,5,100.0,21.0,
428,54,1,1,3,7,,41.0,
429,108,1,1,3,4,85.0,57.0,
430,143,1,1,3,5,,13.0,
431,30,1,1,3,5,20.0,17.0,
432,170,1,1,3,5,,0.0,
433,19,1,1,3,1,100.0,83.0,
434,71,1,1,3,5,75.0,30.0,
435,119,1,1,3,4,90.0,50.0,
436,42,1,1,3,3,100.0,62.0,
437,117,1,1,3,1,100.0,82.0,
438,76,1,1,3,4,80.0,53.0,
439,24,1,1,3,7,100.0,40.0,
440,72,1,1,3,3,70.0,66.0,
441,66,1,1,3,22,30.0,46.0,
442,124,1,1,3,2,80.0,72.0,
443,125,1,1,3,2,90.0,75.0,
444,81,1,1,3,5,10.0,25.0,
445,162,1,1,3,5,0.0,7.0,
446,99,1,1,3,3,80.0,60.0,
447,65,1,1,3,4,80.0,58.0,
448,163,1,1,3,5,100.0,11.0,
449,107,1,1,3,4,80.0,53.0,
450,134,1,1,3,5,20.0,27.0,
451,2,1,1,3,7,75.0,41.0,
452,139,1,1,3,5,10.0,33.0,
453,123,1,1,3,5,30.0,18.0,
454,36,1,1,3,4,40.0,56.0,
455,118,1,1,3,3,70.0,64.0,
456,70,1,1,3,1,100.0,85.0,
457,144,1,1,3,4,,58.0,
458,104,1,1,3,2,100.0,72.0,
459,159,1,1,3,5,90.0,5.0,
460,10,1,1,3,5,90.0,32.0,
461,50,1,1,3,3,40.0,60.0,
462,101,1,1,3,5,55.0,38.0,
463,84,1,1,3,4,75.0,52.0,
464,9,1,1,3,2,100.0,75.0,
465,22,1,1,3,1,100.0,83.0,
466,109,1,1,3,3,90.0,66.0,
467,141,1,1,3,22,60.0,48.0,
468,88,1,1,3,3,100.0,62.0,
469,116,1,1,3,5,,23.0,
470,150,1,1,3,3,100.0,69.0,
471,32,1,1,3,2,100.0,75.0,
472,161,1,1,3,5,20.0,3.0,
473,35,1,1,3,22,79.0,48.0,
474,94,1,1,3,4,90.0,51.0,
475,113,1,1,3,5,10.0,24.0,
476,96,1,1,3,5,90.0,25.0,
477,47,1,1,3,7,80.0,43.0,
478,44,1,1,3,3,90.0,60.0,
479,98,1,1,3,5,100.0,28.0,
480,21,1,1,3,4,,50.0,
481,51,1,1,3,1,100.0,82.0,
482,86,1,1,3,5,70.0,30.0,
483,45,1,1,3,2,90.0,71.0,
484,158,1,1,3,5,0.0,3.0,
485,130,1,1,3,5,,25.0,
486,157,1,1,3,5,0.0,5.0,
487,37,1,1,3,4,80.0,54.0,
488,69,1,1,3,4,90.0,58.0,
489,92,1,1,3,7,70.0,40.0,
490,120,1,1,3,3,100.0,61.0,
491,165,1,1,3,5,,3.0,
492,132,1,1,3,3,90.0,63.0,
493,12,1,1,3,2,90.0,75.0,
494,115,1,1,3,4,90.0,58.0,
495,79,1,1,3,3,80.0,63.0,
496,138,1,1,3,7,90.0,42.0,
497,46,1,1,3,22,60.0,46.0,
498,16,1,1,3,4,75.0,51.0,
499,64,1,1,3,5,10.0,23.0,
500,168,1,1,3,5,,2.0,
501,4,1,1,3,22,70.0,49.0,
502,14,1,1,3,4,90.0,50.0,
503,31,1,1,3,2,90.0,72.0,
504,140,1,1,3,5,,0.0,
505,171,1,1,3,5,,0.0,
506,59,1,1,3,5,85.0,19.0,
507,61,1,1,3,1,100.0,83.0,
508,129,1,1,3,5,50.0,24.0,
509,74,1,1,3,4,85.0,54.0,
510,28,1,1,3,5,,2.0,
511,112,1,1,4,4,95.0,52.0,
512,135,1,1,4,5,100.0,38.0,
513,102,1,1,4,5,25.0,2.0,
514,7,1,1,4,22,35.0,46.0,
515,111,1,1,4,22,95.0,45.0,
516,160,1,1,4,5,,5.0,
517,62,1,1,4,22,50.0,48.0,
518,57,1,1,4,22,,47.0,
519,33,1,1,4,22,100.0,49.0,
520,154,1,1,4,5,,1.0,
521,148,1,1,4,5,80.0,24.0,
522,147,1,1,4,5,,25.0,
523,41,1,1,4,5,,15.0,
524,49,1,1,4,5,,26.0,
525,110,1,1,4,5,,22.0,
526,5,1,1,4,1,75.0,86.0,
527,106,1,1,4,5,0.0,33.0,
528,83,1,1,4,5,85.0,30.0,
529,15,1,1,4,4,95.0,59.0,
530,23,1,1,4,1,100.0,83.0,
531,87,1,1,4,7,100.0,41.0,
532,78,1,1,4,5,65.0,39.0,
533,77,1,1,4,4,,50.0,
534,155,1,1,4,5,,0.0,
535,17,1,1,4,5,,5.0,
536,8,1,1,4,22,65.0,46.0,
537,152,1,1,4,5,10.0,11.0,
538,38,1,1,4,22,40.0,45.0,
539,142,1,1,4,2,80.0,71.0,
540,121,1,1,4,5,,25.0,
541,136,1,1,4,4,75.0,56.0,
542,151,1,1,4,5,,10.0,
543,100,1,1,4,5,70.0,10.0,
544,164,1,1,4,5,,0.0,
545,43,1,1,4,7,95.0,43.0,
546,137,1,1,4,5,95.0,37.0,
547,128,1,1,4,5,60.0,30.0,
548,40,1,1,4,5,90.0,34.0,
549,93,1,1,4,5,5.0,33.0,
550,25,1,1,4,7,90.0,40.0,
551,169,1,1,4,5,,0.0,
552,52,1,1,4,3,70.0,62.0,
553,95,1,1,4,9,,,
554,56,1,1,4,3,90.0,60.0,
555,89,1,1,4,5,0.0,9.0,
556,91,1,1,4,2,85.0,72.0,
557,26,1,1,4,5,,18.0,
558,75,1,1,4,4,90.0,55.0,
559,53,1,1,4,5,40.0,37.0,
560,156,1,1,4,7,100.0,42.0,
561,145,1,1,4,5,,17.0,
562,153,1,1,4,5,60.0,26.0,
563,127,1,1,4,5,70.0,23.0,
564,55,1,1,4,5,50.0,22.0,
565,63,1,1,4,22,100.0,46.0,
566,80,1,1,4,3,70.0,67.0,
567,48,1,1,4,22,100.0,48.0,
568,166,1,1,4,5,,0.0,
569,103,1,1,4,2,95.0,74.0,
570,149,1,1,4,3,95.0,60.0,
571,146,1,1,4,5,,22.0,
572,122,1,1,4,3,100.0,64.0,
573,90,1,1,4,2,90.0,73.0,
574,105,1,1,4,5,60.0,36.0,
575,11,1,1,4,5,80.0,33.0,
576,73,1,1,4,5,,11.0,
577,34,1,1,4,7,90.0,44.0,
578,131,1,1,4,1,90.0,82.0,
579,18,1,1,4,5,,0.0,
580,39,1,1,4,2,80.0,70.0,
581,27,1,1,4,5,30.0,24.0,
582,133,1,1,4,5,,10.0,
583,67,1,1,4,2,95.0,70.0,
584,13,1,1,4,2,100.0,76.0,
585,114,1,1,4,3,95.0,68.0,
586,3,1,1,4,9,100.0,,
587,29,1,1,4,4,95.0,59.0,
588,97,1,1,4,7,,44.0,
589,60,1,1,4,3,90.0,65.0,
590,82,1,1,4,2,80.0,73.0,
591,167,1,1,4,5,,0.0,
592,68,1,1,4,7,100.0,44.0,
593,58,1,1,4,5,,20.0,
594,126,1,1,4,4,90.0,53.0,
595,6,1,1,4,9,75.0,,
596,20,1,1,4,5,,34.0,
597,85,1,1,4,5,95.0,21.0,
598,54,1,1,4,7,80.0,41.0,
599,108,1,1,4,4,60.0,57.0,
600,143,1,1,4,5,,13.0,
601,30,1,1,4,5,25.0,17.0,
602,170,1,1,4,5,,0.0,
603,19,1,1,4,1,100.0,83.0,
604,71,1,1,4,5,70.0,30.0,
605,119,1,1,4,4,100.0,50.0,
606,42,1,1,4,3,95.0,62.0,
607,117,1,1,4,1,100.0,82.0,
608,76,1,1,4,4,90.0,53.0,
609,24,1,1,4,7,90.0,40.0,
610,72,1,1,4,3,80.0,66.0,
611,66,1,1,4,22,75.0,46.0,
612,124,1,1,4,2,90.0,72.0,
613,125,1,1,4,2,100.0,75.0,
614,81,1,1,4,5,25.0,25.0,
615,162,1,1,4,5,50.0,7.0,
616,99,1,1,4,3,90.0,60.0,
617,65,1,1,4,4,79.0,58.0,
618,163,1,1,4,5,95.0,11.0,
619,107,1,1,4,4,50.0,53.0,
620,134,1,1,4,5,20.0,27.0,
621,2,1,1,4,7,100.0,41.0,
622,139,1,1,4,5,50.0,33.0,
623,123,1,1,4,5,,18.0,
624,36,1,1,4,4,85.0,56.0,
625,118,1,1,4,3,75.0,64.0,
626,70,1,1,4,1,90.0,85.0,
627,144,1,1,4,4,,58.0,
628,104,1,1,4,2,100.0,72.0,
629,159,1,1,4,5,,5.0,
630,10,1,1,4,5,10.0,32.0,
631,50,1,1,4,3,30.0,60.0,
632,101,1,1,4,5,90.0,38.0,
633,84,1,1,4,4,85.0,52.0,
634,9,1,1,4,2,100.0,75.0,
635,22,1,1,4,1,100.0,83.0,
636,109,1,1,4,3,70.0,66.0,
637,141,1,1,4,22,100.0,48.0,
638,88,1,1,4,3,0.0,62.0,
639,116,1,1,4,5,,23.0,
640,150,1,1,4,3,100.0,69.0,
641,32,1,1,4,2,95.0,75.0,
642,161,1,1,4,5,,3.0,
643,35,1,1,4,22,80.0,48.0,
644,94,1,1,4,4,80.0,51.0,
645,113,1,1,4,5,10.0,24.0,
646,96,1,1,4,5,65.0,25.0,
647,47,1,1,4,7,90.0,43.0,
648,44,1,1,4,3,90.0,60.0,
649,98,1,1,4,5,,28.0,
650,21,1,1,4,4,95.0,50.0,
651,51,1,1,4,1,80.0,82.0,
652,86,1,1,4,5,100.0,30.0,
653,45,1,1,4,2,65.0,71.0,
654,158,1,1,4,5,0.0,3.0,
655,130,1,1,4,5,90.0,25.0,
656,157,1,1,4,5,0.0,5.0,
657,37,1,1,4,4,90.0,54.0,
658,69,1,1,4,4,70.0,58.0,
659,92,1,1,4,7,95.0,40.0,
660,120,1,1,4,3,,61.0,
661,165,1,1,4,5,,3.0,
662,132,1,1,4,3,80.0,63.0,
663,12,1,1,4,2,40.0,75.0,
664,115,1,1,4,4,50.0,58.0,
665,79,1,1,4,3,100.0,63.0,
666,138,1,1,4,7,95.0,42.0,
667,46,1,1,4,22,85.0,46.0,
668,16,1,1,4,4,70.0,51.0,
669,64,1,1,4,5,50.0,23.0,
670,168,1,1,4,5,,2.0,
671,4,1,1,4,22,100.0,49.0,
672,14,1,1,4,4,90.0,50.0,
673,31,1,1,4,2,98.0,72.0,
674,140,1,1,4,5,,0.0,
675,171,1,1,4,5,,0.0,
676,59,1,1,4,5,,19.0,
677,61,1,1,4,1,100.0,83.0,
678,129,1,1,4,5,60.0,24.0,
679,74,1,1,4,4,95.0,54.0,
