student_key,student_id,full_name,email
72,15925100,John Surname100,15925100@student.murdoch.edu.au
73,15925066,John Surname066,15925066@student.murdoch.edu.au
74,15925169,John Surname169,15925169@student.murdoch.edu.au
75,15925048,John Surname048,15925048@student.murdoch.edu.au
76,15925098,John Surname098,15925098@student.murdoch.edu.au
77,15925023,John Surname023,15925023@student.murdoch.edu.au
78,15925022,John Surname022,15925022@student.murdoch.edu.au
79,15925155,John Surname155,15925155@student.murdoch.edu.au
80,15925056,John Surname056,15925056@student.murdoch.edu.au
81,15925104,Joy Surname104,15925104@student.murdoch.edu.au
82,15925080,John Surname080,15925080@student.murdoch.edu.au
83,15925018,John Surname018,15925018@student.murdoch.edu.au
84,15925123,John Surname123,15925123@student.murdoch.edu.au
85,15925087,Joy Surname087,15925087@student.murdoch.edu.au
86,15925142,Joy Surname142,15925142@student.murdoch.edu.au
87,15925021,John Surname021,15925021@student.murdoch.edu.au
88,15925128,John Surname128,15925128@student.murdoch.edu.au
89,15925045,John Surname045,15925045@student.murdoch.edu.au
90,15925063,John Surname063,15925063@student.murdoch.edu.au
91,15925046,John Surname046,15925046@student.murdoch.edu.au
92,15925149,John Surname149,15925149@student.murdoch.edu.au
93,15925039,Joy Surname039,15925039@student.murdoch.edu.au
94,15925134,Joy Surname134,15925134@student.murdoch.edu.au
95,15925043,John Surname043,15925043@student.murdoch.edu.au
96,15925136,John Surname136,15925136@student.murdoch.edu.au
97,15925078,John Surname078,15925078@student.murdoch.edu.au
98,15925139,John Surname139,15925139@student.murdoch.edu.au
99,15925106,John Surname106,15925106@student.murdoch.edu.au
100,15925033,John Surname033,15925033@student.murdoch.edu.au
101,15925122,John Surname122,15925122@student.murdoch.edu.au
102,15925003,John Surname003,15925003@student.murdoch.edu.au
103,15925059,John Surname059,15925059@student.murdoch.edu.au
104,15925118,John Surname118,15925118@student.murdoch.edu.au
105,15925064,Joy Surname064,15925064@student.murdoch.edu.au
106,15925017,John Surname017,15925017@student.murdoch.edu.au
107,15925109,John Surname109,15925109@student.murdoch.edu.au
108,15925089,John Surname089,15925089@student.murdoch.edu.au
109,15925126,John Surname126,15925126@student.murdoch.edu.au
110,15925015,John Surname015,15925015@student.murdoch.edu.au
111,15925005,John Surname005,15925005@student.murdoch.edu.au
112,15925001,John Surname001,15925001@student.murdoch.edu.au
113,15925135,John Surname135,15925135@student.murdoch.edu.au
114,15925075,John Surname075,15925075@student.murdoch.edu.au
115,15925154,John Surname154,15925154@student.murdoch.edu.au
116,15925129,John Surname129,15925129@student.murdoch.edu.au
117,15925097,Joy Surname097,15925097@student.murdoch.edu.au
118,15925115,John Surname115,15925115@student.murdoch.edu.au
119,15925095,John Surname095,15925095@student.murdoch.edu.au
120,15925150,John Surname150,15925150@student.murdoch.edu.au
121,15925030,Joy Surname030,15925030@student.murdoch.edu.au
122,15925062,John Surname062,15925062@student.murdoch.edu.au
123,15925113,John Surname113,15925113@student.murdoch.edu.au
124,15925102,John Surname102,15925102@student.murdoch.edu.au
125,15925103,John Surname103,15925103@student.murdoch.edu.au
126,15925084,John Surname084,15925084@student.murdoch.edu.au
127,15925053,John Surname053,15925053@student.murdoch.edu.au
128,15925037,John Surname037,15925037@student.murdoch.edu.au
129,15925168,John Surname168,15925168@student.murdoch.edu.au
130,15925145,John Surname145,15925145@student.murdoch.edu.au
131,15925068,John Surname068,15925068@student.murdoch.edu.au
132,15925152,John Surname152,15925152@student.murdoch.edu.au
133,15925072,John Surname072,15925072@student.murdoch.edu.au
134,15925110,John Surname110,15925110@student.murdoch.edu.au
135,15925002,John Surname002,15925002@student.murdoch.edu.au
136,15925031,John Surname031,15925031@student.murdoch.edu.au
137,15925036,John Surname036,15925036@student.murdoch.edu.au
138,15925156,John Surname156,15925156@student.murdoch.edu.au
139,15925112,John Surname112,15925112@student.murdoch.edu.au
140,15925164,John Surname164,15925164@student.murdoch.edu.au
141,15925127,John Surname127,15925127@student.murdoch.edu.au
142,15925029,John Surname029,15925029@student.murdoch.edu.au
143,15925090,John Surname090,15925090@student.murdoch.edu.au
144,15925117,John Surname117,15925117@student.murdoch.edu.au
145,15925051,John Surname051,15925051@student.murdoch.edu.au
146,15925061,John Surname061,15925061@student.murdoch.edu.au
147,15925012,John Surname012,15925012@student.murdoch.edu.au
148,15925011,John Surname011,15925011@student.murdoch.edu.au
149,15925060,John Surname060,15925060@student.murdoch.edu.au
150,15925130,John Surname130,15925130@student.murdoch.edu.au
151,15925032,John Surname032,15925032@student.murdoch.edu.au
152,15925027,John Surname027,15925027@student.murdoch.edu.au
153,15925052,John Surname052,15925052@student.murdoch.edu.au
154,15925010,Joy Surname010,15925010@student.murdoch.edu.au
155,15925024,John Surname024,15925024@student.murdoch.edu.au
156,15925050,John Surname050,15925050@student.murdoch.edu.au
157,15925146,Joy Surname146,15925146@student.murdoch.edu.au
158,15925144,John Surname144,15925144@student.murdoch.edu.au
159,15925119,John Surname119,15925119@student.murdoch.edu.au
160,15925006,John Surname006,15925006@student.murdoch.edu.au
161,15925132,John Surname132,15925132@student.murdoch.edu.au
162,15925105,Joy Surname105,15925105@student.murdoch.edu.au
163,15925108,John Surname108,15925108@student.murdoch.edu.au
164,15925034,John Surname034,15925034@student.murdoch.edu.au
165,15925151,John Surname151,15925151@student.murdoch.edu.au
166,15925058,John Surname058,15925058@student.murdoch.edu.au
167,15925081,John Surname081,15925081@student.murdoch.edu.au
168,15925160,Joy Surname160,15925160@student.murdoch.edu.au
169,15925041,Joy Surname041,15925041@student.murdoch.edu.au
170,15925092,,
171,15925165,,
172,3,Student Test1,charlotte.ayemyat@gmail.com
