run_id,run_timestamp_utc,stage_name,status,started_at,finished_at,duration_sec,exit_code,stdout_tail,stderr_tail
pipe_20260709T145708125691Z_1775083d,2026-07-09T14:57:08.125824+00:00,etl,completed,2026-07-09T14:57:08.125958+00:00,2026-07-09T14:57:20.933954+00:00,12.808,0,Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/courses.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/students.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/enrolments.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/activity_logs.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/grades.csv Courses: (1; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1342; 21) Grades: (0; 8),/home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/pymysql/_auth.py:9: CryptographyDeprecationWarning: Python 3.8 is no longer supported by the Python core team and support for it is deprecated in cryptography. The next release of cryptography will remove support for Python 3.8.   from cryptography.hazmat.backends import default_backend
pipe_20260709T145708125691Z_1775083d,2026-07-09T14:57:08.125824+00:00,feature_engineering,completed,2026-07-09T14:57:20.934599+00:00,2026-07-09T14:57:26.202583+00:00,5.268,0,Saved: ml/baselines/model_feature_stats.csv Saved: ml/baselines/model_feature_baseline.csv v2.2 snapshot upsert complete | student_snapshot_total=689 latest_snapshot_date=2026-07-09 latest_activity_date=2026-07-07 academic_period_key_default=2,/home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/pymysql/_auth.py:9: CryptographyDeprecationWarning: Python 3.8 is no longer supported by the Python core team and support for it is deprecated in cryptography. The next release of cryptography will remove support for Python 3.8.   from cryptography.hazmat.backends import default_backend
pipe_20260709T145708125691Z_1775083d,2026-07-09T14:57:08.125824+00:00,online_prediction,completed,2026-07-09T14:57:26.204224+00:00,2026-07-09T14:57:27.715837+00:00,1.512,0,Dropping unexpected features: ['avg_events_per_active_day'; 'quiz_views'; 'top_material_type'] Dropping unexpected features: ['assessments_attempted'] Online prediction skipped. No new Moodle rows to score for snapshot_date=2026-07-09.,/home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/pymysql/_auth.py:9: CryptographyDeprecationWarning: Python 3.8 is no longer supported by the Python core team and support for it is deprecated in cryptography. The next release of cryptography will remove support for Python 3.8.   from cryptography.hazmat.backends import default_backend /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn( /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator DecisionTreeClassifier from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn( /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator RandomForestClassifier from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn( /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn(
pipe_20260709T145817957185Z_1a4d23af,2026-07-09T14:58:17.957353+00:00,etl,completed,2026-07-09T14:58:17.957507+00:00,2026-07-09T14:58:26.888822+00:00,8.931,0,Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/courses.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/students.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/enrolments.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/activity_logs.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/grades.csv Courses: (1; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1342; 21) Grades: (0; 8),/home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/pymysql/_auth.py:9: CryptographyDeprecationWarning: Python 3.8 is no longer supported by the Python core team and support for it is deprecated in cryptography. The next release of cryptography will remove support for Python 3.8.   from cryptography.hazmat.backends import default_backend
pipe_20260709T150223647046Z_cb8b7a25,2026-07-09T15:02:23.647157+00:00,etl,completed,2026-07-09T15:02:23.647466+00:00,2026-07-09T15:02:33.131269+00:00,9.484,0,Saved to staging: /app/data/staging/courses.csv Saved to staging: /app/data/staging/students.csv Saved to staging: /app/data/staging/enrolments.csv Saved to staging: /app/data/staging/activity_logs.csv Saved to staging: /app/data/staging/grades.csv Courses: (1; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1342; 21) Grades: (0; 8),/app/etl/transform_moodle.py:389: FutureWarning: The behavior of array concatenation with empty entries is deprecated. In a future version; this will no longer exclude empty items when determining the result dtype. To retain the old behavior; exclude the empty entries before the concat operation.   fact["student_key"] = fact["student_key_from_user"].combine_first(fact["student_key_from_related"])
pipe_20260709T150223647046Z_cb8b7a25,2026-07-09T15:02:23.647157+00:00,feature_engineering,completed,2026-07-09T15:02:33.132603+00:00,2026-07-09T15:02:36.193572+00:00,3.061,0,Saved: ml/baselines/model_feature_stats.csv Saved: ml/baselines/model_feature_baseline.csv v2.2 snapshot upsert complete | student_snapshot_total=689 latest_snapshot_date=2026-07-09 latest_activity_date=2026-07-07 academic_period_key_default=2,
pipe_20260709T150223647046Z_cb8b7a25,2026-07-09T15:02:23.647157+00:00,online_prediction,completed,2026-07-09T15:02:36.194561+00:00,2026-07-09T15:02:38.404559+00:00,2.21,0,Dropping unexpected features: ['avg_events_per_active_day'; 'quiz_views'; 'top_material_type'] Dropping unexpected features: ['assessments_attempted'] Online prediction skipped. No new Moodle rows to score for snapshot_date=2026-07-09.,
pipe_20260709T151159089282Z_73ac9ba6,2026-07-09T15:11:59.089414+00:00,etl,completed,2026-07-09T15:11:59.089547+00:00,2026-07-09T15:12:08.556637+00:00,9.467,0,Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/courses.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/students.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/enrolments.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/activity_logs.csv Saved to staging: /home/ft04/Smart-LMS-Dashboard-Moodle/data/staging/grades.csv Courses: (1; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1343; 21) Grades: (0; 8),/home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/pymysql/_auth.py:9: CryptographyDeprecationWarning: Python 3.8 is no longer supported by the Python core team and support for it is deprecated in cryptography. The next release of cryptography will remove support for Python 3.8.   from cryptography.hazmat.backends import default_backend
pipe_20260709T151159089282Z_73ac9ba6,2026-07-09T15:11:59.089414+00:00,feature_engineering,completed,2026-07-09T15:12:08.558765+00:00,2026-07-09T15:12:11.735257+00:00,3.177,0,Saved: ml/baselines/model_feature_stats.csv Saved: ml/baselines/model_feature_baseline.csv v2.2 snapshot upsert complete | student_snapshot_total=689 latest_snapshot_date=2026-07-09 latest_activity_date=2026-07-07 academic_period_key_default=2,/home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/pymysql/_auth.py:9: CryptographyDeprecationWarning: Python 3.8 is no longer supported by the Python core team and support for it is deprecated in cryptography. The next release of cryptography will remove support for Python 3.8.   from cryptography.hazmat.backends import default_backend
pipe_20260709T151159089282Z_73ac9ba6,2026-07-09T15:11:59.089414+00:00,online_prediction,completed,2026-07-09T15:12:11.736896+00:00,2026-07-09T15:12:13.296549+00:00,1.56,0,Dropping unexpected features: ['avg_events_per_active_day'; 'quiz_views'; 'top_material_type'] Dropping unexpected features: ['assessments_attempted'] Online prediction skipped. No new Moodle rows to score for snapshot_date=2026-07-09.,/home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/pymysql/_auth.py:9: CryptographyDeprecationWarning: Python 3.8 is no longer supported by the Python core team and support for it is deprecated in cryptography. The next release of cryptography will remove support for Python 3.8.   from cryptography.hazmat.backends import default_backend /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator LogisticRegression from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn( /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator DecisionTreeClassifier from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn( /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator RandomForestClassifier from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn( /home/ft04/Smart-LMS-Dashboard-Moodle/.venv/lib/python3.8/site-packages/sklearn/base.py:348: InconsistentVersionWarning: Trying to unpickle estimator StandardScaler from version 1.7.2 when using version 1.3.2. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to: https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations   warnings.warn(
pipe_20260709T173002087147Z_48ed21a0,2026-07-09T17:30:02.087256+00:00,etl,completed,2026-07-09T17:30:02.087357+00:00,2026-07-09T17:30:10.460640+00:00,8.373,0,Saved to staging: /app/data/staging/courses.csv Saved to staging: /app/data/staging/students.csv Saved to staging: /app/data/staging/enrolments.csv Saved to staging: /app/data/staging/activity_logs.csv Saved to staging: /app/data/staging/grades.csv Courses: (1; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1350; 21) Grades: (0; 8),/app/etl/transform_moodle.py:389: FutureWarning: The behavior of array concatenation with empty entries is deprecated. In a future version; this will no longer exclude empty items when determining the result dtype. To retain the old behavior; exclude the empty entries before the concat operation.   fact["student_key"] = fact["student_key_from_user"].combine_first(fact["student_key_from_related"])
pipe_20260709T173002087147Z_48ed21a0,2026-07-09T17:30:02.087256+00:00,feature_engineering,completed,2026-07-09T17:30:10.461914+00:00,2026-07-09T17:30:13.119394+00:00,2.657,0,Saved: ml/baselines/model_feature_stats.csv Saved: ml/baselines/model_feature_baseline.csv v2.2 snapshot upsert complete | student_snapshot_total=689 latest_snapshot_date=2026-07-09 latest_activity_date=2026-07-07 academic_period_key_default=2,
pipe_20260709T173002087147Z_48ed21a0,2026-07-09T17:30:02.087256+00:00,online_prediction,completed,2026-07-09T17:30:13.120310+00:00,2026-07-09T17:30:15.273059+00:00,2.153,0,Dropping unexpected features: ['avg_events_per_active_day'; 'quiz_views'; 'top_material_type'] Dropping unexpected features: ['assessments_attempted'] Online prediction skipped. No new Moodle rows to score for snapshot_date=2026-07-09.,
pipe_20260710T173001808755Z_4e5aadf3,2026-07-10T17:30:01.808859+00:00,etl,completed,2026-07-10T17:30:01.808959+00:00,2026-07-10T17:30:10.104805+00:00,8.296,0,Saved to staging: /app/data/staging/courses.csv Saved to staging: /app/data/staging/students.csv Saved to staging: /app/data/staging/enrolments.csv Saved to staging: /app/data/staging/activity_logs.csv Saved to staging: /app/data/staging/grades.csv Courses: (1; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1359; 21) Grades: (0; 8),/app/etl/transform_moodle.py:389: FutureWarning: The behavior of array concatenation with empty entries is deprecated. In a future version; this will no longer exclude empty items when determining the result dtype. To retain the old behavior; exclude the empty entries before the concat operation.   fact["student_key"] = fact["student_key_from_user"].combine_first(fact["student_key_from_related"])
pipe_20260710T173001808755Z_4e5aadf3,2026-07-10T17:30:01.808859+00:00,feature_engineering,completed,2026-07-10T17:30:10.105220+00:00,2026-07-10T17:30:12.945589+00:00,2.84,0,Saved: ml/baselines/model_feature_stats.csv Saved: ml/baselines/model_feature_baseline.csv v2.2 snapshot upsert complete | student_snapshot_total=861 latest_snapshot_date=2026-07-10 latest_activity_date=2026-07-07 academic_period_key_default=2,
pipe_20260710T173001808755Z_4e5aadf3,2026-07-10T17:30:01.808859+00:00,online_prediction,completed,2026-07-10T17:30:12.946477+00:00,2026-07-10T17:30:15.179769+00:00,2.233,0,Dropping unexpected features: ['avg_events_per_active_day'; 'quiz_views'; 'top_material_type'] Dropping unexpected features: ['assessments_attempted'] Online prediction pipeline completed.    student_key  course_key  ...  final_risk_label ensemble_model_version 0            1           1  ...                 0                     v1 1            2           1  ...                 1                     v1 2            3           1  ...                 1                     v1 3            4           1  ...                 1                     v1 4            5           1  ...                 0                     v1  [5 rows x 9 columns],
pipe_20260711T173001779975Z_f9fbc12e,2026-07-11T17:30:01.780082+00:00,etl,completed,2026-07-11T17:30:01.780183+00:00,2026-07-11T17:30:10.074834+00:00,8.295,0,Saved to staging: /app/data/staging/courses.csv Saved to staging: /app/data/staging/students.csv Saved to staging: /app/data/staging/enrolments.csv Saved to staging: /app/data/staging/activity_logs.csv Saved to staging: /app/data/staging/grades.csv Courses: (1; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1361; 21) Grades: (0; 8),/app/etl/transform_moodle.py:389: FutureWarning: The behavior of array concatenation with empty entries is deprecated. In a future version; this will no longer exclude empty items when determining the result dtype. To retain the old behavior; exclude the empty entries before the concat operation.   fact["student_key"] = fact["student_key_from_user"].combine_first(fact["student_key_from_related"])
pipe_20260711T173001779975Z_f9fbc12e,2026-07-11T17:30:01.780082+00:00,feature_engineering,completed,2026-07-11T17:30:10.076084+00:00,2026-07-11T17:30:13.353390+00:00,3.277,0,Saved: ml/baselines/model_feature_stats.csv Saved: ml/baselines/model_feature_baseline.csv v2.2 snapshot upsert complete | student_snapshot_total=1033 latest_snapshot_date=2026-07-11 latest_activity_date=2026-07-07 academic_period_key_default=2,
pipe_20260711T173001779975Z_f9fbc12e,2026-07-11T17:30:01.780082+00:00,online_prediction,completed,2026-07-11T17:30:13.354282+00:00,2026-07-11T17:30:15.561812+00:00,2.208,0,Dropping unexpected features: ['avg_events_per_active_day'; 'quiz_views'; 'top_material_type'] Dropping unexpected features: ['assessments_attempted'] Online prediction pipeline completed.    student_key  course_key  ...  final_risk_label ensemble_model_version 0            1           1  ...                 0                     v1 1            2           1  ...                 1                     v1 2            3           1  ...                 1                     v1 3            4           1  ...                 1                     v1 4            5           1  ...                 0                     v1  [5 rows x 9 columns],
pipe_20260712T173003250168Z_bf01e923,2026-07-12T17:30:03.250517+00:00,etl,completed,2026-07-12T17:30:03.250947+00:00,2026-07-12T17:30:12.922379+00:00,9.671,0,Saved to staging: /app/data/staging/courses.csv Saved to staging: /app/data/staging/students.csv Saved to staging: /app/data/staging/enrolments.csv Saved to staging: /app/data/staging/activity_logs.csv Saved to staging: /app/data/staging/grades.csv Courses: (2; 6) Students: (1; 7) Enrolments: (1; 6) Logs: (1595; 21) Grades: (0; 8),
